"Infirmier","Patient"
"Bonjour. Installez-vous. Quel âge avez-vous et qu'est-ce qui vous amène ?","Bonjour. J'ai 24 ans, je suis une femme et j'ai une douleur terrible au ventre depuis ce matin."
"Pouvez-vous me montrer exactement où vous avez mal ?","C'est surtout là, en bas à droite. Au début c'était partout autour du nombril, mais maintenant c'est vraiment localisé ici."
"Sur une échelle de 0 à 10, à combien est la douleur actuellement ?","Je dirais 6 sur 10, mais ça monte à 8 si je bouge la jambe ou si je tousse."
"Avez-vous des nausées ou avez-vous vomi ?","Oui, j'ai vomi ce matin et je n'ai rien pu manger depuis, j'ai la nausée dès que j'essaie de boire."
"Je vais prendre votre température. Vous êtes à 38.4°C, vous avez de la fièvre. Est-ce que vous aviez des frissons ?","Oui, je frissonne depuis tout à l'heure, je me sentais très chaude."
"Au niveau du transit, avez-vous de la diarrhée ou au contraire de la constipation ?","Non, pas de diarrhée. Je n'ai pas été aux toilettes depuis hier."
"Avez-vous remarqué des brûlures en urinant ou du sang dans les urines ?","Non, rien de spécial quand je fais pipi."
"Avez-vous déjà été opérée de l'abdomen, par exemple de l'appendicite ?","Non, jamais."
"Je prends vos autres constantes. Votre tension est à 118/72, correcte. Votre pouls est à 98 battements par minute, un peu élevé avec la fièvre. Vous respirez à 18 fois par minute et votre saturation en oxygène est parfaite à 99%.","D'accord."
"Au vu de la localisation typique de la douleur, de la fièvre et des signes digestifs, vous allez être examinée rapidement pour une possible appendicite. On va probablement vous faire une échographie ou un scanner.","D'accord, merci."
