"Infirmier","Patient"
"Bonjour Monsieur. Installez-vous doucement. Quel âge avez-vous et qu'est-ce qui vous amène ?","Bonjour. J'ai 45 ans. J'ai très mal dans le bas du dos depuis ce matin, je n'arrive presque plus à bouger."
"Pouvez-vous me dire ce qui s'est passé exactement ?","Hier après-midi, j'étais en train de décharger des cartons lourds de mon camion pour le travail. J'ai senti un craquement dans le dos en soulevant une caisse, mais sur le coup ça allait à peu près."
"Et la douleur est apparue quand ?","Cette nuit, je me suis réveillé avec une douleur terrible. Ce matin, impossible de me redresser normalement. Ma femme a dû m'aider à m'habiller."
"Sur une échelle de 0 à 10, à combien évaluez-vous cette douleur ?","Là, assis, c'est environ 6 sur 10. Mais dès que j'essaie de me pencher ou de me tourner, ça monte à 8 facilement."
"Est-ce que la douleur descend dans les jambes ? Ressentez-vous des fourmillements, des engourdissements ou une faiblesse dans les membres inférieurs ?","Non, ça reste vraiment localisé dans le bas du dos, au niveau des lombaires. Pas de fourmillements."
"Avez-vous des difficultés pour uriner ou pour contrôler vos selles depuis l'accident ?","Non, tout fonctionne normalement de ce côté-là, heureusement."
"Avez-vous des antécédents de problèmes de dos ? Hernie discale, sciatique ?","J'ai déjà eu des lumbagos il y a quelques années, mais jamais aussi fort que ça."
"Prenez-vous des médicaments régulièrement ?","Non, aucun traitement. Je suis en bonne santé d'habitude."
"Je vais prendre vos constantes. Votre tension est à 138/88, un peu élevée avec la douleur et le stress. Votre pouls est à 82 battements par minute, correct. Votre saturation en oxygène est à 98% et vous respirez à 16 fois par minute. Température normale à 36.7°C.","D'accord, c'est rassurant."
"Compte tenu du mécanisme traumatique avec port de charge lourde et du craquement ressenti, nous devons vérifier qu'il n'y a pas de lésion vertébrale. Je vous classe en traumatologie pour des radiographies du rachis lombaire. L'attente ne devrait pas être trop longue.","Merci beaucoup. Vous pensez que c'est grave ?"
"Je ne peux pas me prononcer avant les radios, mais l'absence de signes neurologiques dans les jambes est plutôt rassurante. Le médecin vous examinera et vous donnera un diagnostic précis.","D'accord, merci pour les explications."
