"Infirmier","Patient"
"Bonjour monsieur. Je vois que vous avez du mal à marcher. Asseyez-vous immédiatement. Quel âge avez-vous et que se passe-t-il ?","J'ai 72 ans... C'est mon bras... droit. Il est lourd... et ma jambe ne tient plus."
"C'est arrivé brutalement ou progressivement ?","D'un coup. J'étais... à table... le café est tombé."
"À quelle heure exactement cela s'est-il produit ? C'est très important pour le traitement.","Il y a... environ 45 minutes. Ma femme a regardé l'heure."
"Avez-vous des difficultés à trouver vos mots ou l'impression de parler bizarrement ?","Oui... ma langue... semble épaisse. J'ai du mal à... articuler."
"Avez-vous mal à la tête actuellement ? Une douleur violente ?","Non... pas de douleur. Juste... bizarre."
"Pouvez-vous essayer de me serrer les deux mains aussi fort que possible ?","(Le patient serre fort à gauche, mais très faiblement à droite) Je n'y arrive pas... à droite."
"Je vais vérifier votre état de conscience. Pouvez-vous me dire où nous sommes et quel jour on est ?","À l'hôpital... on est... mardi je crois."
"Prenez-vous des médicaments fluidifiants pour le sang ou avez-vous été opéré récemment ?","Non... rien de tout ça."
"Je prends vos constantes en urgence. Votre tension est très élevée à 185/105. Votre pouls est irrégulier à 92 battements par minute. Saturation en oxygène à 96%, respiration à 18 par minute. Température normale à 36.9°C. Votre score de Glasgow est à 14, vous êtes conscient mais avec un déficit.","D'accord... merci."
"Monsieur, compte tenu de vos symptômes et du délai court depuis le début, nous n'allons pas attendre. Je vous installe immédiatement en salle d'urgence vitale pour un scanner cérébral. Chaque minute compte.","D'accord..."
